Index,Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source,EID,RQ1 - Interaction Input - Verbal,RQ1 - Interaction Input - Camera ,RQ1 - Interaction Input - Tactile,RQ1 - Interaction Input - Gestural,RQ1 - Interaction Input - Mechanical,RQ1 - Interaction Input - Orientational,RQ1 - Interaction Input - Contextual,RQ1 - Output modality - Audio,RQ1 - Output modality - Visual,RQ1 - Output modality - Motion ,RQ1 - Output modality - Gustation,RQ1 - Output modality - Thermoception,RQ1 - Scalar attributes - Morphable ,RQ1 - Scalar attributes - Customisability,RQ1 - Scalar attributes - Automaticity,RQ1 - Scalar attributes - Expressivity,RQ1 - Scalar attributes - Adaptive,RQ1 - Scalar attributes - Practicality,RQ1 - Scalar attributes - Combined ,RQ1 - Scalar attributes - Parallel ,RQ1 - Layout - Symbols ,RQ1 - Layout - Pictographic ,RQ1 - Layout - Text,RQ1 - Layout - Animation / video,RQ1 - Layout - Grid ,RQ1 - Layout - VSDs,RQ1 - Layout - Novel,RQ1 - Layout - No layout,RQ1 - Communication type  - Verbal ,RQ1 - Communication type  - Nonverbal,RQ1 - Scenarios and communication partners - Fellow AC ,RQ1 - Scenarios and communication partners - Family or friends ,RQ1 - Scenarios and communication partners - Professionals  ,RQ1 - Scenarios and communication partners - Groups ,RQ1 - Scenarios and communication partners - Strangers ,RQ1 - Scenarios and communication partners - Anyone  ,RQ1 - Scenarios and communication partners - Virtual ,RQ1 - Scenarios and communication partners - Unclear ,RQ1 - Communication model - Linear ,RQ1 - Communication model - Interactive ,RQ1 - Communication model - Transactional ,RQ2 - User study method - Controlled experiment ,RQ2 - User study method - Randomized control trial,RQ2 - User study method - Survey,RQ2 - User study method - Usability testing ,RQ2 - User study method - Interviews,RQ2 - User study method - Focus groups,RQ2 - User study method - Case study,RQ2 - User study method - Field study,RQ2 - User study method - Workshop,RQ2 - User study method - Other ,RQ2 - User study location - No user study ,RQ2 - User study location - Near/at researchers lab ,"RQ2 - User study location - Home, residence or school",RQ2 - User study location - Neutral location ,RQ2 - User study location - Online/remote ,RQ2 - User study location - Other,RQ2 - Participatory design - Yes ,RQ2 - Participatory design - No,RQ2 - Contribution type - Empirical ,RQ2 - Contribution type - Artifact ,RQ2 - Contribution type - Methodological ,RQ2 - Contribution type - Theoretical and opinion,RQ2 - Contribution type - Dataset ,RQ2 - Contribution type - Survey ,RQ2 - Use of commercial AAC  - Yes,RQ2 - Use of commercial AAC  - No,RQ3 - Community of Focus  - BVI,RQ3 - Community of Focus  - DHH,RQ3 - Community of Focus  - Motor,RQ3 - Community of Focus  - Autism,RQ3 - Community of Focus  - IDD,RQ3 - Community of Focus  - Other cognitive,RQ3 - Community of Focus  - Older adults,RQ3 - Community of Focus  - General disability,RQ3 - Community of Focus  - Other,RQ3 - Participant groups  - No user study,RQ3 - Participant groups  -  People with disabilities,RQ3 - Participant groups  - People without disabilities,RQ3 - Participant groups  - Specialists,RQ3 - Participant groups  - Caregivers,RQ3 - Use of proxies - Yes ,RQ3 - Use of proxies - No,RQ3 - Ability based comparison - Yes ,RQ3 - Ability based comparison - No ,Analytics - Device name ,Analytics - Community names ,Analytics - Total number of participants 
1,"McNaughton D., Light J.",The iPad and mobile technology revolution: Benefits and challenges for individuals who require augmentative and alternative communication,2013,AAC: Augmentative and Alternative Communication,10.3109/07434618.2013.784930,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878456694&doi=10.3109%2f07434618.2013.784930&partnerID=40&md5=f4bc3c9cb668839543683cf13e3388a2 ,"The iPad and other mobile technologies provide powerful new tools to potentially enhance communication for individuals with developmental disabilities, acquired neurogenic disorders, and degenerative neurological conditions. These mobile technologies offer a number of potential benefits, including: (a) increased awareness and social acceptance of augmentative and alternative communication (AAC), (b) greater consumer empowerment in accessing AAC solutions, (c) increased adoption of AAC technologies, (d) greater functionality and interconnectivity, and (e) greater diffusion of AAC research and development. However, there remain a number of significant challenges that must be addressed if these benefits are to be fully realized: (a) to ensure the focus is on communication, not just technology, (b) to develop innovative models of AAC service delivery to ensure successful outcomes, (c) to ensure ease of access for all individuals who require AAC, and, (d) to maximize AAC solutions to support a wide variety of communication functions. There is an urgent need for effective collaboration among key stakeholders to support research and development activities, and to ensure the successful implementation of mobile technologies to enhance communication outcomes for individuals who require AAC and their families. © 2013 International Society for Augmentative and Alternative Communication.",Acquired disabilities; Communication; Developmental disabilities; IPad; Mobile technology,"Acquired disabilities; Augmentative-and-alternative communication; Communication functions; Consumer empowerment; Developmental disability; IPad; Mobile Technology; Research and development; C (programming language); Communication; Hand held computers; Human rehabilitation engineering; Telecommunication equipment; communication aid; developmental disorder; editorial; human; microcomputer; mobile phone; communication aid; Developmental Disabilities; mobile phone; personal digital assistant; trends; Cellular Phone; Communication Aids for Disabled; Computers, Handheld; Developmental Disabilities; Humans; Cell Phones; Communication Aids for Disabled; Computers, Handheld; Developmental Disabilities; Humans",Review,Scopus,2-s2.0-84878456694,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,"iPad, Smartphone, Apps ","ALS, Aphasia, ASD, Cerebral Palsy, Motor Disabilities",n/a
2,"Light J., Drager K.",AAC technologies for young children with complex communication needs: State of the science and future research directions,2007,AAC: Augmentative and Alternative Communication,10.1080/07434610701553635,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548125811&doi=10.1080%2f07434610701553635&partnerID=40&md5=8c04e16fbc79d52997c702b54d9514c4,"Augmentative and alternative communication (AAC) technologies offer the potential to provide children who have complex communication needs with access to the magic and power of communication. This paper is intended to (a) summarize the research related to AAC technologies for young children who have complex communication needs; and (b) define priorities for future research to improve AAC technologies and interventions for children with complex communication needs. With the realization of improved AAC technologies, young children with complex communication needs will have better tools to maximize their development of communication, language, and literacy skills, and attain their full potential.",Aided communication; Assistive technology; Augmentative and alternative communication (AAC); Children; Cognitive processes; Communication; Design; Early intervention; Learning,"Education; Human engineering; Social aspects; Social sciences; Technology transfer; Aided communication; Alternative communication; Assistive technology; Augmentative communication; Cognitive processes; Complex communication; Cognitive systems; child; communication aid; handicapped child; human; interpersonal communication; language disability; preschool child; review; Child; Child, Preschool; Communication; Communication Aids for Disabled; Disabled Children; Humans; Language Development Disorders",Article,Scopus,2-s2.0-34548125811,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,Apps,"Autism, Cerebral Palsy, Down Syndrome, Motor disabilities, Developmental Disabilities, Children",n/a
3,"Flores M., Musgrove K., Renner S., Hinton V., Strozier S., Franklin S., Hil D.",A comparison of communication using the apple ipad and a picture-based system,2012,AAC: Augmentative and Alternative Communication,10.3109/07434618.2011.644579,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861930730&doi=10.3109%2f07434618.2011.644579&partnerID=40&md5=6de060bb6befcddb66f9f7fd0a1922f9,"Augmentative and alternative communication (AAC) interventions have been shown to improve both communication and social skills in children and youth with autism spectrum disorders and other developmental disabilities. AAC applications have become available for personal devices such as cell phones, MP3 Players, and personal computer tablets. It is critical that these new forms of AAC are explored and evaluated. The purpose of this study was to investigate the utility of the Apple iPad™ as a communication device by comparing its use to a communication system using picture cards. Five elementary students with autism spectrum disorders and developmental disabilities who used a picture card system participated in the study. The results were mixed; communication behaviors either increased when using the iPad or remained the same as when using picture cards. The implications of these findings are discussed. © 2012 International Society for Augmentative and Alternative Communication.",Augmentative and alternative communication; Communication intervention; Developmental disabilities; IPad,"Augmentative-and-alternative communication; Autism spectrum disorders; Cell phone; Communication behavior; Communication device; Developmental disability; Elementary students; IPad; MP-3 players; New forms; Personal devices; Picture cards; Social skills; Communication systems; Diseases; Education; Hand held computers; Human rehabilitation engineering; Fruits; article; autism; child; communication aid; communication disorder; comparative study; human; male; microcomputer; nonverbal communication; Child; Child Development Disorders, Pervasive; Communication Aids for Disabled; Communication Disorders; Computers, Handheld; Humans; Male; Nonverbal Communication",Article,Scopus,2-s2.0-84861930730,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,"iPad, Smartphone, Apps ","Autism, Developmental Disabilities, Children",5
4,"Baxter S., Enderby P., Evans P., Judge S.",Barriers and facilitators to the use of high-technology augmentative and alternative communication devices: A systematic review and qualitative synthesis,2012,International Journal of Language and Communication Disorders,10.1111/j.1460-6984.2011.00090.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857738116&doi=10.1111%2fj.1460-6984.2011.00090.x&partnerID=40&md5=bb6f5d18c8cb589d3e7765b8c53c2129,"Background: There has been a rapid growth in recent years of available technologies for individuals with communication difficulties. Research in the area is currently underdeveloped with practitioners having a limited body of work on which to draw to guide the process of intervention. Concerns have been raised that this newly developed technology may have limited functional usage. Aims: This review aims to investigate the potential barriers and facilitators to high-technology AAC provision and its ongoing use. The aim of the analysis is to explore factors underpinning use rather than effectiveness, thus it synthesized data from predominantly qualitative and survey studies reporting the views and perceptions of AAC users or staff providing the devices. Main Contribution: The review highlights the range of factors that can impact on provision and use of high-technology AAC, which practitioners should consider and address as appropriate in the intervention process. These include: ease of use of the device; reliability; availability of technical support; voice/language of the device; decision-making process; time taken to generate a message; family perceptions and support; communication partner responses; service provision; and knowledge and skills of staff. The work outlines how qualitative synthesis review methods may be applied to the consideration of published material that is not reporting outcomes data, and how this may provide valuable information to inform future studies. Conclusions: Practitioners should be aware of barriers and facilitators to successful use when making recommendations, and consider how barriers where present might be overcome. Aspects of service delivery such as ongoing technical support and staff training may require further consideration. The synthesis of evidence describing views of users and providers, and the implementation of high-technology AAC systems, can provide valuable data to inform intervention studies and functional outcome measures. © 2011 Royal College of Speech & Language Therapists.",assistive technology; augmentative and alternative communication; systematic review,adult; attitude to health; caregiver; child; communication aid; decision making; health care delivery; health personnel attitude; human; review; utilization review; Adult; Attitude of Health Personnel; Attitude to Health; Caregivers; Child; Communication Aids for Disabled; Decision Making; Health Services Accessibility; Humans,Review,Scopus,2-s2.0-84857738116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,"DeltaTalker, Dynavox, Liberator with Unity, Pathfinder, AlphaSmart, LightWrighter, laptop, Pathfinder, Liberator, BigMak, Boardmaker, Intellikeys, SentenceShaper ",AAC users ,n/a 
5,"Beukelman D.R., Fager S., Ball L., Dietz A.",AAC for adults with acquired neurological conditions: A review,2007,AAC: Augmentative and Alternative Communication,10.1080/07434610701553668,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548134143&doi=10.1080%2f07434610701553668&partnerID=40&md5=61b15065672602c0957ed64206fcd3e0,"The purpose of this review is to describe the state of the science of augmentative and alternative communication (AAC) for adults with acquired neurogenic communication disorders. Recent advances in AAC for six groups of people with degenerative and chronic acquired neurological conditions are detailed. Specifically, the topics of recent AAC technological advances, acceptance, use, limitations, and future needs of individuals with amyotrophic lateral sclerosis (ALS), traumatic brain injury (TBI), brainstem impairment, severe, chronic aphasia and apraxia of speech, primary progressive aphasia (PPA), and dementia are discussed.",AAC acceptance; AAC use; Amyotrophic lateral sclerosis; Aphasia; Brainstem impairment; Dementia; Traumatic brain injury,Brain; Human engineering; Social sciences; Speech; Technology transfer; Amyotrophic lateral sclerosis; Aphasia; Brainstem impairment; Dementia; Neurogenic communication disorders; Traumatic brain injury; Neurophysiology; adult; amyotrophic lateral sclerosis; aphasia; brain injury; communication aid; dementia; human; review; Adult; Amyotrophic Lateral Sclerosis; Aphasia; Brain Injuries; Communication Aids for Disabled; Dementia; Humans,Review,Scopus,2-s2.0-34548134143,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,n/a ,"ALS, Aphasia, Traumatic Brain Injury, TBI, Dementia",n/a 
6,"Light J., McNaughton D.","Supporting the communication, language, and literacy development of children with complex communication needs: State of the science and future research priorities",2012,Assistive Technology,10.1080/10400435.2011.648717,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859184511&doi=10.1080%2f10400435.2011.648717&partnerID=40&md5=ffbcb0680db48377cffd9a30487c9236,"Children with complex communication needs (CCN) resulting from autism spectrum disorders, cerebral palsy, Down syndrome and other disabilities are severely restricted in their participation in educational, vocational, family, and community environments. There is a substantial body of research that demonstrates convincingly that children with CCN derive substantial benefits from augmentative and alternative communication (AAC) in their development of communication, language and literacy skills, with no risk to their speech development. Future research must address two significant challenges in order to maximize outcomes for children with CCN: (1) investigating how to improve the design of AAC apps/technologies so as to better meet the breadth of communication needs for the diverse population of children with CCN; and (2) ensuring the effective translation of these evidence-based AAC interventions to the everyday lives of children with CCN so that the possible becomes the probable. This article considers each of these challenges in turn, summarizing the state of the science as well as directions for future research and development. © 2012 Copyright 2012 RESNA.",AAC; augmentative and alternative communication; autism spectrum disorders; cerebral palsy; children; communication; Down syndrome; language; literacy; multiple disabilities,"AAC; Augmentative-and-alternative communication; Autism spectrum disorders; cerebral palsy; children; Down syndrome; language; literacy; Multiple disabilities; Communication; Diseases; Human rehabilitation engineering; Research; Speech communication; Education; article; child; communication aid; communication disorder; health care planning; human; infant; language development; medical research; needs assessment; preschool child; psychological aspect; Biomedical Research; Child; Child, Preschool; Communication Aids for Disabled; Communication Disorders; Health Priorities; Humans; Infant; Language Development; Needs Assessment",Article,Scopus,2-s2.0-84859184511,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,n/a ,"Autism, Cerebral Palsy, Down Syndrome, Motor disabilities, Developmental Disabilities, Children",n/a
7,"Binger C., Light J.",The effect of aided AAC modeling on the expression of multi-symbol messages by preschoolers who use AAC,2007,AAC: Augmentative and Alternative Communication,10.1080/07434610600807470,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250876847&doi=10.1080%2f07434610600807470&partnerID=40&md5=8915b56b827d3cafc3e0a2141f3e20ac,"A single subject, multiple probe design across participants was used to evaluate the impact of using aided AAC modeling to support multi-symbol message production. Five preschoolers (three who used voice output communication systems, two who used non-electronic communication boards) participated in the study. Aided AAC models were provided by pointing to two symbols on the child's aided AAC system and then providing a grammatically complete spoken model while engaging in play activities. Four of the five preschoolers learned to consistently produce multi-symbol messages; the fifth did not demonstrate consistent gains. The four preschoolers who met criterion all evidenced long-term use of symbol combinations and generalized use of symbol combinations to novel play routines. Results, clinical implications, and future research directions are discussed.",,"Codes (symbols); Communication aids for nonvocal persons; Speech communication; Students; Augmentative and alternative communication; Multi-symbol message production; Voice output; Communication systems; article; child development; communication aid; developmental disorder; female; human; instrumentation; interpersonal communication; male; preschool child; recreation; semantics; speech; speech disorder; symbolism; Articulation Disorders; Child Development; Child, Preschool; Communication; Communication Aids for Disabled; Developmental Disabilities; Female; Humans; Male; Play and Playthings; Semantics; Speech; Speech-Language Pathology; Symbolism",Article,Scopus,2-s2.0-34250876847,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,"EasyTalk, Speaking Dynamically Pro, Mercury II","Prader-Willi, DiGeorge, Down Syndrome, Apraxia",5
8,Goossens C.,Aided Communication Intervention Before Assessment: A Case Study of a Child with Cerebral Palsy,1989,Augmentative and Alternative Communication,10.1080/07434618912331274926,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0009162286&doi=10.1080%2f07434618912331274926&partnerID=40&md5=380076e0dc22fed19c5ecbc0eb0fa7f9,"Described is a case study in which a 6-year-old, functionally nonspeaking girl with severe spastic-athetoid cerebral palsy underwent 7 months of augmentative communication intervention involving parallel training in eye-gaze communication and switch-access programming. Typical of many severely physically impaired augmentative and alternative communication (AAC) clients, the childs lack of a reliable means of communication at the outset of intervention precluded insight into her true developmental status. Assessment was further confounded by the fact that English was the childs second language. AAC intervention was therefore initiated on the basis of minimal diagnostic input. Despite this fact, all AAC programming was conducted in a contexually relevant, highly interactive format using aided language stimulation techniques to foster frequent interactive symbolic use. Results of intervention were quite dramatic with both picture symbol communication and functional speech emerging. With the attainment of a reliable means of communication, professionals were eventually able to evaluate the childs true developmental status. A severely physically impaired child, initially believed to be mentally retarded, was ultimately determined to be of normal intelligence. © 1989, Informa UK Ltd. All rights reserved.",Adaptive Testing; Aided Communication; Aided Language Stimulation; Eye-Gaze Training; Parallel Programming; Severe Physical Impairment; Single-Switch Training,,Article,Scopus,2-s2.0-0009162286,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,Head activated switch setup ,Cerebral Palsy ,1
9,"Higginbotham D.J., Shane H., Russell S., Caves K.","Access to AAC: Present, past, and future",2007,AAC: Augmentative and Alternative Communication,10.1080/07434610701571058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548134135&doi=10.1080%2f07434610701571058&partnerID=40&md5=961854bdc5b7f7c2b7d96fb032966b05,"Historically, access in augmentative and alternative communication (AAC) has been conceptualized as the physical operation of AAC technologies; more recently, research and development in the cognitive and social sciences has helped to broaden the concept to include a range of human factors involved in the successful use of AAC technologies in social interactions. The goal of this article is to expand the current understanding of communication access by providing a conceptual framework for examining AAC access, evaluating recent scientific and technical advances in the areas of AAC, and discussing the challenges to accessing AAC technologies for a range of communication activities.",Augmentative and alternative communication (AAC); Cognitive science; Communication access; Physical access; Social interaction,Human engineering; Social aspects; Social sciences; Technology transfer; Alternative communication; Augmentative communication; Cognitive science; Physical access; Social interaction; Cognitive systems; communication aid; disabled person; health care delivery; human; psychological aspect; psychology; review; social behavior; Cognitive Science; Communication Aids for Disabled; Disabled Persons; Health Services Accessibility; Humans; Social Behavior,Article,Scopus,2-s2.0-34548134135,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,Many mentioned ,AAC users ,n/a
10,"McNaughton D., Rackensperger T., Benedek-Wood E., Krezman C., Williams M., Light J.","""A child needs to be given a chance to succeed"": Parents of individuals who use AAC describe the benefits and challenges of learning AAC technologies",2008,AAC: Augmentative and Alternative Communication,10.1080/07434610701421007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049100072&doi=10.1080%2f07434610701421007&partnerID=40&md5=082f8924a72709985143de71e85c04b2,"Seven parents of individuals with cerebral palsy who used augmentative and alternative communication (AAC) devices participated in a focus group discussion on the benefits and challenges of learning AAC technology. The focus group was conducted on the Internet over a 9-week period. Six major themes emerged from the discussion: (a) issues in the selection of AAC technology; (b) knowledge and skills needed to use AAC technology; (c) barriers to learning AAC technology; (d) teaching the individual; (e) educating society; and (f) recommendations to others. Important supports to learning how to make effective use of AAC technology included opportunities for individual exploration, use of the technology in role play activities, organized instruction, and opportunities for functional use in the community.",Assistive Technology; Augmentative and Alternative Communication; Cerebral Palsy; Focus Group; Instruction; Internet; Learning; Parent,"Computer aided instruction; Internet; Learning systems; Teaching; Augmentative and alternative communication; Cerebral palsy; Focus group; Human engineering; adaptive behavior; adult; article; caregiver; cerebral palsy; child; communication aid; education; female; human; information processing; Internet; male; psychological aspect; reinforcement; Adaptation, Psychological; Adult; Caregivers; Cerebral Palsy; Child; Communication Aids for Disabled; Education, Special; Female; Focus Groups; Humans; Internet; Male; Reinforcement (Psychology)",Article,Scopus,2-s2.0-39049100072,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,"Pathfinder with Unity, DynaVox 3100, Liberator, Delta Talker with Unity, AlphaSmart ",Cerebral Palsy ,7
